CALCULO 2A                             ; INSTITUTO DE FISICA       ; 246N23 ; SAMAMBAIA
ALGEBRA LINEAR                         ; CIENCIAS ECONOMICAS       ; 24N45  ; SAMAMBAIA
CALCULO 2B                             ; ADMINISTRACAO             ; 35N23  ; SAMAMBAIA
CALCULO 1B                             ; QUIMICA LICENCIATURA      ; 35N45  ; SAMAMBAIA
GEOMETRIA ANALITICA                    ; INSTITUTO DE FISICA       ; 35N45  ; SAMAMBAIA
CALCULO 1B                             ; CIENCIAS ECONOMICAS       ; 35N23  ; SAMAMBAIA
CALCULO 1B                             ; ADMINISTRACAO             ; 35N45  ; SAMAMBAIA
ESTATISTICA DESCRITIVA E PROBABILIDADE ; ADMINISTRACAO             ; 46N23  ; SAMAMBAIA
ESTATISTICA                            ; CIENCIAS CONTABEIS        ; 46N45  ; SAMAMBAIA
ESTATISTICA INFERENCIAL                ; ADMINISTRACAO             ; 46N45  ; SAMAMBAIA
